countries,Year,(Territorial & Low GHG with VOLY) scenario [%],(Territorial & Low GHG with VSL) scenario [%],(Territorial & Central GHG with VOLY) scenario [%],(Territorial & Central GHG with VSL) scenario [%],(Territorial & High GHG with VOLY) scenario [%],(Territorial & High GHG with VSL) scenario [%],(Residential & Low GHG with VOLY) scenario [%],(Residential & Low GHG with VSL) scenario [%],(Residential & Central GHG with VOLY) scenario [%],(Residential & Central GHG with VSL) scenario [%],(Residential & High GHG with VOLY) scenario [%],(Residential & High GHG with VSL) scenario [%],(Footprint & Low GHG with VOLY) scenario [%],(Footprint & Low GHG with VSL) scenario [%],(Footprint & Central GHG with VOLY) scenario [%],(Footprint & Central GHG with VSL) scenario [%],(Footprint & High GHG with VOLY) scenario [%],(Footprint & High GHG with VSL) scenario [%]
Belgium,2005,12.952473617716045,33.49295402073813,14.898505524813766,35.438985927835844,34.312490502764824,54.85297090578691,,,,,,,,,,,,
Bulgaria,2005,124.98529279239929,358.7786541998927,133.01904393113116,366.81240533862456,213.16527552943234,446.95863693692564,,,,,,,,,,,,
Cyprus,2005,8.797381952617474,13.074154894177257,11.336299588411695,15.613072529971475,36.66502552645402,40.9417984680138,,,,,,,,,,,,
Czechia,2005,28.16423664791242,68.83071049213346,33.562855994786155,74.22932983900719,87.42051090764555,128.0869847518666,,,,,,,,,,,,
Germany,2005,7.1708982301786035,17.11702654408712,8.993134592384774,18.93926290629329,27.172111634393943,37.11823994830246,7.309214757351931,17.255343071260448,9.223662137673653,19.169790451582173,28.322553860407023,38.26868217431554,7.815085504759408,17.761213818667926,10.066780050019448,20.012908363927963,32.5301137277327,42.476242041641214
Denmark,2005,4.6701756325634625,9.29471732781287,6.110511728007578,10.735053423256986,20.479578965890532,25.104120661139937,5.564028482242365,10.188570177491773,7.600266477472414,12.224808172721822,27.914164572743623,32.53870626799303,6.017145019010263,10.64168671425967,8.355460705418913,12.980002400668319,31.682943386495666,36.30748508174507
Estonia,2005,17.973753784172157,27.036859282572088,24.041180723422638,33.104286221822576,84.57098756975483,93.63409306815477,,,,,,,,,,,,
Greece,2005,15.141270864168904,35.8047353533863,17.949514354632527,38.61297884384992,45.965086319019605,66.62855080823701,,,,,,,,,,,,
Spain,2005,11.097376656347016,27.98576845756273,12.883514499701839,29.771906300917557,30.702365841741635,47.59075764295735,,,,,,,,,,,,
Finland,2005,3.7165407567081794,7.237596931755391,4.770959648302537,8.292015823349749,15.290043352541488,18.8110995275887,,,,,,,,,,,,
France,2005,7.790543058318539,20.159548865256056,8.979026362913068,21.348032169850587,20.835562187320384,33.2045679942579,,,,,,,,,,,,
Croatia,2005,27.78323041807345,82.52235255881362,30.280505286984464,85.01962742772464,55.19379505064431,109.93291719138449,,,,,,,,,,,,
Hungary,2005,20.625949261393078,55.29769643233535,23.89763068995196,58.569377860894235,56.536547798670334,91.20829496961261,21.330061821948306,56.00180899289058,25.071151624210675,59.742898795152946,62.39297608011382,97.0647232510561,22.569750307233257,57.24149747817553,27.137299099685585,61.80904627062785,72.70403586248386,107.37578303342615
Ireland,2005,6.361585454603104,12.179542498009473,8.315321054121151,14.133278097527521,27.806159535027376,33.62411657843374,,,,,,,,,,,,
Italy,2005,11.806607322885313,34.05421557605126,13.377464651980306,35.625072905146254,29.048636577951793,51.29624483111775,,,,,,,,,,,,
Lithuania,2005,12.04204095348405,26.84794464701929,15.710572262022222,30.51647595555746,52.308539363867325,67.11444305740257,,,,,,,,,,,,
Latvia,2005,57.87870492825499,91.69500954908317,59.42484722917074,93.24115184999891,74.84945732640172,108.6657619472299,,,,,,,,,,,,
Malta,2005,9.005986587993245,18.144538033035072,11.4492842724326,20.58783571747443,35.82408736243474,44.962638807476566,9.23898862929679,18.37754007433862,11.837621007938512,20.97617245298034,37.76207259486423,46.900624039906056,10.021337574387141,19.15988901942897,13.14153591642243,22.280087361464258,44.26922890006016,53.407780345102
Netherlands,2005,7.272188689068278,17.323326223172618,8.956088580696807,19.007226114801146,25.754994642419533,35.80613217652387,7.434930967279804,17.486068501384143,9.227325711049353,19.27846324515369,27.108597083416992,37.15973461752133,7.873811727804271,17.92494926190861,9.958793645256797,20.009931179361136,30.75897039317605,40.810107927280384
Norway,2005,2.2359440570064946,4.418626947916963,2.8198204777908846,5.002503368701353,8.644682866092294,10.827365757002765,,,,,,,,,,,,
Poland,2005,37.12461944432711,84.63823218764925,43.15049347079484,90.66410621411698,103.26576054436578,150.77937328768795,,,,,,,,,,,,
Portugal,2005,12.268148392301109,31.261929314354152,14.65658268575685,33.65036360780989,38.48405813713674,57.47783905918978,12.218464870298645,31.212245792351695,14.573776815752742,33.567557737805785,38.07081741444958,57.06459833650263,14.562803755729167,33.55658467778221,18.481008291470282,37.47478921352332,57.5697630646971,76.56354398675013
Romania,2005,57.852802757753665,157.07027678011306,64.09962304809534,163.31709707045474,126.4190921350754,225.6365661574348,,,,,,,,,,,,
Sweden,2005,1.5345263979266237,3.4874450567303024,1.8425121839994834,3.7954308428031625,4.915037049821581,6.86795570862526,,,,,,,,,,,,
Slovenia,2005,26.69668939266473,78.6662125038201,28.63194038588985,80.60146349704522,47.93837291354048,99.90789602469586,,,,,,,,,,,,
Slovakia,2005,34.31473924077618,85.23818296898237,39.21608085089104,90.13952457909723,88.11279834227503,139.03624207048122,35.079916346406655,86.00336007461284,40.491376026941836,91.41481975514803,94.47712855418568,145.40057228239186,35.08304512970962,86.00648885791581,40.49659066578011,91.4200343939863,94.50315208515,145.42659581335622
Belgium,2006,12.181388963298646,31.402051965622178,14.002356795217,33.22301979754053,32.16867873745008,51.389341739773606,,,,,,,,,,,,
Bulgaria,2006,108.47123088653777,308.59142172199927,116.13717171105435,316.2573625465159,192.61405755563663,392.73424839109816,,,,,,,,,,,,
Cyprus,2006,7.766888353275372,11.363546286845633,10.18078695015925,13.777444883729508,34.26229914288174,37.858957076452,,,,,,,,,,,,
Czechia,2006,24.97059739992872,60.71373083739762,29.83411009686855,65.57724353433744,78.3534391449111,114.09657258237999,,,,,,,,,,,,
Germany,2006,6.866857032594295,16.417325686475927,8.615083471120466,18.165552125002097,26.05572341736965,35.60619207125128,7.021308397699867,16.5717770515815,8.872502412963087,18.422971066844717,27.34036651761283,36.89083517149446,7.457761191736126,17.008229845617755,9.599923736356853,19.150392390238483,30.97054531245409,40.52101396633572
Denmark,2006,4.639141054035515,9.071377925813401,6.14491887733543,10.577155749113317,21.16684525739886,25.599082129176747,5.751573310347609,10.183810182125494,7.998972637855589,12.431209509633476,30.419456405137556,34.85169327691545,6.117151658009331,10.549388529787219,8.608269883958458,13.040506755736345,33.46013980473664,37.89237667651452
Estonia,2006,11.796385454974242,18.80676923700521,16.178389891590328,23.188773673621295,59.89410081878413,66.9044846008151,,,,,,,,,,,,
Greece,2006,13.336570014633143,31.727954645059064,15.83656242265732,34.22794705308324,40.77696287413661,59.16834750456253,,,,,,,,,,,,
Spain,2006,9.89747666809786,24.872882956258223,11.509725668170583,26.48513195633095,27.593828787943693,42.56923507610406,,,,,,,,,,,,
Finland,2006,3.9783342383037303,7.5194447995049085,5.165000820141471,8.706111381342648,17.003412672284654,20.54452323348583,,,,,,,,,,,,
France,2006,7.040401152395015,18.122087490740746,8.151588834570335,19.233275172916066,19.237008806747934,30.318695145093667,,,,,,,,,,,,
Croatia,2006,23.92246729369843,70.95235460024264,26.24781527417874,73.27770258072296,49.44592965087521,96.47581695741943,,,,,,,,,,,,
Hungary,2006,19.707320707243394,52.28289657287193,22.97214191542734,55.54771778105587,55.54262015897672,88.11819602460524,20.300571399290327,52.87614726491885,23.96089306883889,56.53646893446742,60.47695924838295,93.05253511401148,21.608991433873133,54.184567299501666,26.141593126476902,58.71716899210544,71.3596909645955,103.93526683022402
Ireland,2006,5.640554351646855,10.624299383720842,7.4265754141605775,12.410320446234564,25.244261728285572,30.228006760359555,,,,,,,,,,,,
Italy,2006,10.993561876097612,31.581238361786806,12.475050557523899,33.062727043213094,27.254663831752808,47.842340317442,,,,,,,,,,,,
Lithuania,2006,10.912172624962063,24.01059171090869,14.241753430922161,27.340172516868787,47.45828575704789,60.55670484299451,,,,,,,,,,,,
Latvia,2006,45.766051649763,72.38452025271985,46.9175847285335,73.53605333149035,58.40549806198202,85.02396666493887,,,,,,,,,,,,
Malta,2006,8.714410568202851,17.549200703312977,11.085743161206738,19.92053329631686,34.74260879141218,43.57739892652231,8.934330357208959,17.769120492319082,11.452276142883584,20.287066277993706,36.57178290949472,45.40657304460485,10.320726803627615,19.15551693873774,13.762936886914675,22.597727022024802,48.10308033684991,56.937870471960025
Netherlands,2006,6.768256819309344,16.175789351394073,8.318125767176578,17.72565829926131,23.77991360423303,33.18744613631775,6.900074716472271,16.307607248556998,8.537822262448122,17.94535479453285,24.876303733016737,34.28383626510146,7.523999386215969,16.931531918300696,9.577696712020952,18.985229244105682,30.06577241469448,39.473304946779216
Norway,2006,1.9295579676046206,3.844037290891815,2.4259465588002214,4.340425882087416,7.378013694775383,9.292493018062578,,,,,,,,,,,,
Poland,2006,35.190187907397295,80.09952231916961,40.91097768028395,85.82031209205626,97.98266612884365,142.89200054061595,,,,,,,,,,,,
Portugal,2006,11.073051531782955,28.634422680071335,13.091435718044874,30.652806866333254,33.22722081432451,50.788591962612884,11.241286737769947,28.802657886058324,13.371827728023192,30.933198876311575,34.62651046412106,52.187881612409434,13.130015449640775,30.691386597929153,16.519708914474574,34.08108006276295,50.335936575554626,67.897307723843
Romania,2006,47.667211614185376,129.2856493741745,52.81907094540382,134.437508705393,104.21500094017833,185.83343870016748,,,,,,,,,,,,
Sweden,2006,1.2699920552524449,3.0543636440715147,1.4664051939835858,3.2507767828026557,3.425860077991872,5.210231666810943,,,,,,,,,,,,
Slovenia,2006,21.68101409958667,62.69852892512097,23.494648825616895,64.51216365115118,41.587814306727964,82.60532913226226,,,,,,,,,,,,
Slovakia,2006,27.06604400903469,67.94606620542959,30.994593151616158,71.87461534801105,70.18654769308364,111.06656988947854,28.159166647888252,69.03918884428315,32.81646421637209,73.69648641276699,79.27855186386562,120.15857406026052,28.514327386452347,69.39434958284724,33.408398780645584,74.28842097704049,82.2325872131924,123.11260940958731
Belgium,2007,10.885527413364048,28.081499450408575,12.568019773359381,29.763991810403912,29.35288403140805,46.54885606845258,,,,,,,,,,,,
Bulgaria,2007,93.73150419686613,267.6924194247906,100.58866363465549,274.54957886258,168.99699231164925,342.95790753957374,,,,,,,,,,,,
Cyprus,2007,7.14232594891735,10.326193148808205,9.461664932835353,12.645532132726208,32.59983241525544,35.7836996151463,,,,,,,,,,,,
Czechia,2007,22.35168987446952,54.2076490901936,26.7765360458583,58.63249526158237,70.91964427947491,102.775603495199,,,,,,,,,,,,
Germany,2007,6.369069910983977,15.248291785641415,7.996996749814967,16.876218624472404,24.237504975295554,33.116726849953,6.531400567142086,15.410622441799523,8.267547843411814,17.14676971806925,25.587683766197916,34.46690564085536,7.01063030449481,15.889852179152248,9.06626407233302,17.94548594699046,29.57365808957612,38.45287996423356
Denmark,2007,4.328147565399924,8.587175831346974,5.704302791587915,9.963331057534965,19.433089452844314,23.692117718791362,5.42902200968107,9.688050275628118,7.5390935320564925,11.798121798003542,28.58956895765893,32.84859722360597,5.845459132645738,10.104487398592786,8.233155403664274,12.492183669611322,32.0532682026349,36.31229646858195
Estonia,2007,13.826326833848537,21.258369050014327,18.474495332687045,25.90653754885284,64.84550964252833,72.27755185869412,,,,,,,,,,,,
Greece,2007,12.51666970355135,29.449237357033642,14.927411938222889,31.85997959170518,38.97743566030324,55.91000331378554,,,,,,,,,,,,
Spain,2007,9.244115570332642,23.086232789884885,10.800908205467213,24.643025425019456,26.33176806550018,40.17388528505242,,,,,,,,,,,,
Finland,2007,3.8363392314189193,6.961506053284297,5.112007957898563,8.23717477976394,17.838322157778823,20.9634889796442,,,,,,,,,,,,
France,2007,6.427682220711254,16.47226521196481,7.46873201673054,17.513315007984094,17.85444307701817,27.899026068271727,,,,,,,,,,,,
Croatia,2007,22.31371871589894,65.45625777194786,24.68418506652027,67.82672412256919,48.33240889771876,91.47494795376768,,,,,,,,,,,,
Hungary,2007,17.33226262075915,46.00379889390771,20.187443737513988,48.85898001066254,48.671274402282485,77.34281067543104,17.938456809468573,46.60999308261712,21.197767385363026,49.86930365851158,53.71327051154816,82.38480678469672,19.390393642693525,48.06192991584207,23.61766210740461,52.289198380553174,65.78969750535569,94.46123377850424
Ireland,2007,5.093922466400161,9.533008065686504,6.722912142118462,11.161997741404804,22.97402343083198,27.41310903011832,,,,,,,,,,,,
Italy,2007,11.436408483925154,33.298021531857216,12.906916435240202,34.76852948317226,27.57698385431174,49.4385969022438,,,,,,,,,,,,
Lithuania,2007,8.830674343012355,19.097115813892565,11.616630042879992,21.883071513760203,39.40985476298809,49.6762962338683,,,,,,,,,,,,
Latvia,2007,35.52925861834456,55.79332585832437,36.5675485948709,56.831615834850716,46.925727170216966,67.18979441019678,,,,,,,,,,,,
Malta,2007,8.309628499386907,16.710142997772138,10.586055627514982,18.98657012590021,33.29612626288793,41.696640761273166,8.525011118940299,16.92552561732553,10.945026660103968,19.345541158489198,35.087562654093915,43.48807715247915,10.70530747664197,19.105821975027197,14.578853922940088,22.979368421325315,53.22209108958085,61.62260558796607
Netherlands,2007,6.257210782499152,14.807591449036615,7.708246646639856,16.258627313177318,22.18405681509117,30.73443748162863,6.402956098178206,14.953336764715667,7.951155506104947,16.50153617264241,23.396287694707432,31.946668361244896,6.673266869048887,15.223647535586348,8.401673457556083,16.952054124093543,25.644586804806437,34.194967471343894
Norway,2007,1.8357770673459277,3.6477202800613346,2.324260800314243,4.13620401302965,7.19746756492672,9.009410777642127,,,,,,,,,,,,
Poland,2007,30.153408396030823,67.62345634658527,35.23971516908009,72.70976311963454,85.98168035735736,123.45172830791182,,,,,,,,,,,,
Portugal,2007,9.958275276749823,25.633974039139883,11.777642065859222,27.453340828249285,29.927991700069633,45.603690462459696,10.179357941144291,25.855056703534352,12.146113173183332,27.821811935573393,31.766837988049012,47.442536750439075,12.08764151668477,27.763340279074832,15.326585799084128,31.002284561474188,47.638910902068226,63.31460966445829
Romania,2007,33.9855376833396,91.07673564936692,37.99992711545694,95.09112508148426,78.04824073586562,135.13943870189294,,,,,,,,,,,,
Sweden,2007,1.204351796973966,2.843483876782271,1.4000452163854584,3.0391772961937633,3.352320043371535,4.99145212317984,,,,,,,,,,,,
Slovenia,2007,19.982851811196486,58.06262943247751,21.595208262648438,59.674985883929466,37.68038333784766,75.76016095912868,,,,,,,,,,,,
Slovakia,2007,20.238559485119623,50.21991582962515,23.321978519434925,53.30333486394044,54.082754123675656,84.06411046818118,21.071105023544845,51.05246136805036,24.70955441681029,54.69091076131581,61.00741860200607,90.98877494651158,21.927989471878423,51.90934581638395,26.13769516403292,56.11905150853844,68.13452099766948,98.11587734217501
Belgium,2008,10.187138074634584,25.610812382957903,11.830937125703391,27.25461143402671,28.229789563746948,43.65346387207027,10.21808181160341,25.64175611992673,11.882510020651434,27.30618432897475,28.48716286805911,43.91083717638242,12.261875932937988,27.685550241261307,15.288833556209061,30.71250786453238,45.48633936931812,60.91001367764144
Bulgaria,2008,77.70446998794525,202.1642077123611,83.71526111843465,208.1749988428505,143.68005834879332,268.13979607320914,80.05704572421182,204.51678344862768,87.63622067887893,212.09595840329482,163.24751367901047,287.7072514034263,80.22246539897495,204.68220312339076,87.91192013681749,212.37165786123336,164.62338525958003,289.0831229839959
Cyprus,2008,6.20242378061611,8.79107010668294,8.381098660676711,10.96974498674354,30.115974249852705,32.704620575919535,6.473794746180878,9.062441072247706,8.833383603284656,11.422029929351485,32.37309148724855,34.96173781331538,7.506207842721572,10.094854168788403,10.554072097519148,13.142718423585977,40.96014644895211,43.54879277501894
Czechia,2008,17.870114693223993,43.11745825458382,21.49874914432217,46.746092705681995,57.69869759694443,82.94604115830425,17.800216795664685,43.047560357024516,21.382252648389994,46.62959620974982,57.117324607720995,82.36466816908083,17.84813605003563,43.09547961139546,21.462118072341564,46.7094616337014,57.515891104393624,82.76323466575344
Germany,2008,6.126673827150313,14.65832786191974,7.715861091973658,16.247515126743085,23.569895948187504,32.10154998295693,6.307992369328369,14.839646404097795,8.018058662270418,16.549712697039844,25.078005727573245,33.60965976234267,6.767101012990824,15.29875504776025,8.783239735041175,17.314893769810602,28.89662365263873,37.42827768740816
Denmark,2008,3.980264132178045,7.93741047168308,5.222422778114633,9.17956911761967,17.61443403162489,21.571580371129926,5.02234434831249,8.979490687817526,6.959223138338711,10.916369477843746,26.281894876933613,30.23904121643865,5.468419919420892,9.425566258925928,7.702682423519381,11.659828763024418,29.992110738216198,33.949257077721235
Estonia,2008,11.01120439761465,16.803289894753313,14.747033644038732,20.53911914117739,52.01637779288848,57.80846329002715,13.753766966079153,19.545852463217816,19.31797125814624,25.110056755284905,74.82753312424406,80.61961862138271,13.631812771556314,19.423898268694977,19.11471426727484,24.906799764413503,73.81318395075249,79.60526944789116
Greece,2008,11.462641871330433,26.81040189858771,13.704342823103726,29.052102850361006,36.067978508651585,51.41573853590886,11.8216254950403,27.169385522297578,14.30264886262017,29.65040888987745,39.0538105534765,54.40157058073378,11.460149957167722,26.807909984425,13.700189632832544,29.047949660089824,36.04725211148872,51.395012138746
Spain,2008,6.941698603386445,16.39347060973862,8.323793107329967,17.77556511368214,22.11183113476654,31.563603141118712,7.2337921284305855,16.68556413478276,8.8106156490702,18.262387655422376,24.541307438308273,33.99307944466045,7.5596141575399205,17.011386163892098,9.353652364252426,18.8054243706046,27.251319235979565,36.703091242331745
Finland,2008,3.194343927624636,5.942232765037449,4.190576187681775,6.938465025094587,14.129178972537511,16.877067809950326,4.143235030937122,6.891123868349934,5.772061359869251,8.519950197282062,22.021543069930253,24.769431907343066,4.923285065683474,7.671173903096286,7.07214475111317,9.820033588525982,28.509578279566572,31.257467116979388
France,2008,6.053789186801715,15.438174733785722,7.058102618978307,16.442488165962317,17.0773247161686,26.46171026315261,6.340917697917065,15.725303244901074,7.536650137503891,16.921035684487897,19.465504713381986,28.849890260365996,6.828949674748793,16.2133352217328,8.350036765556771,17.73442231254078,23.5246913143316,32.90907686131561
Croatia,2008,19.893545961375406,58.664233517455976,21.961777231492384,60.73246478757296,42.594846330992695,81.36553388707327,20.84296361875088,59.61365117483145,23.54413999378483,62.314827549865406,50.49159002090931,89.26227757698989,22.15567322633091,60.92636078241149,25.73198933975156,64.50267689583214,61.41000009030516,100.18068764638575
Hungary,2008,15.764169505119737,41.87529055040638,18.318317129292062,44.429438174578706,43.79898033234453,69.91010137763118,16.42872313457701,42.539844179863664,19.425906511720846,45.5370275570075,49.32637877417961,75.43749981946625,17.950242091542417,44.061363136829065,21.96177143999653,48.07289248528318,61.98155232100301,88.09267336628966
Ireland,2008,5.096223942909928,9.341699675891565,6.788072695866683,11.03354842884832,23.6662781122686,27.911753845250235,4.918352889899244,9.163828622880882,6.491620940848876,10.737096673830514,22.18684268722735,26.43231842020899,5.519864078848588,9.765339811830225,7.494139589097783,11.73961532207942,27.189888131821892,31.435363864803534
Italy,2008,10.538364206459379,30.623806082666942,11.908685067540478,31.994126943748043,25.579266991182877,45.66470886739044,10.744520210253482,30.829962086461045,12.252278407197316,32.33772028340488,27.293961371946523,47.379403248154084,11.269135331929657,31.35457720813722,13.126636943324277,33.21207881953184,31.65742682842773,51.74286870463529
Lithuania,2008,7.504365366303226,16.5778083043224,9.770588923487681,18.844031861506856,32.378866791589736,41.45230972960891,9.311034894534922,18.384477832554094,12.78170480387384,21.85514774189301,47.405768899421616,56.47921183744079,10.785974959017272,19.859417897036447,15.239938244677756,24.31338118269693,59.67352435638592,68.74696729440511
Latvia,2008,31.087768024784463,49.032597350345476,31.907383947169965,49.85221327273098,40.0840285062063,58.028857831767326,33.310506751278965,51.25533607683999,35.611948491327475,53.55677781688849,58.57156965990665,76.51639898546767,35.37381678124045,53.31864610680146,39.05079854126327,56.995627866824286,75.73306895672911,93.67789828229013
Malta,2008,7.155465694489203,14.063627972929424,9.207347744118595,16.115510022558812,29.677313905897517,36.585476184337736,7.348900301643571,14.25706258008379,9.52973875604254,16.43790103448276,31.286198574927486,38.19436085336771,10.623458793425717,17.531621071865935,14.987336242346117,21.895498520786337,58.5222088875282,65.43037116596842
Netherlands,2008,5.737720130624631,13.434498885657867,7.124975526963928,14.821754281997162,20.964499599967862,28.661278355001095,5.880206898724966,13.5769856537582,7.362453473797817,15.059232228831053,22.14962763940556,29.846406394438795,6.327096521375221,14.023875276408457,8.107269511548242,15.80404826658148,25.866614342083878,33.563393097117114
Norway,2008,1.6001462293747013,3.2186050741015486,2.0140143935015193,3.632473238228366,6.142842030861917,7.7613008755887645,2.272762902435159,3.8912217471620067,3.1350421819356153,4.753501026662462,11.737304517904454,13.3557633626313,2.3960536244338355,4.0145124691606835,3.340526718600076,4.958985563326924,12.762770205639477,14.381229050366326
Poland,2008,24.729220951506733,55.0270786631534,29.01773820574499,59.31559591739165,71.80080319445526,102.09866090610191,25.46193589295993,55.7597936046066,30.23892977483366,60.53678748648033,77.89513064400252,108.19298835564916,25.454795478169768,55.752653189816435,30.227029083516715,60.52488679516338,77.83574052733509,108.13359823898176
Portugal,2008,8.97211442311343,23.203904742416086,10.55747215063081,24.78926246993347,26.37330281324469,40.605093132547346,9.407073850313898,23.638864169616554,11.282404529298256,25.51419484860092,29.991060588689844,44.2228509079925,11.34130190258332,25.57309222188597,14.506117949747294,28.73790826904995,46.07892565835933,60.310715977661985
Romania,2008,30.573575014359722,83.38630559940405,33.9680842666583,86.78081485170264,67.83235514077984,120.64508572582417,32.12003790396519,84.93276848900952,36.54552241600075,89.35825300104509,80.69499885749838,133.5077294425427,32.4909236906391,85.30365427568343,37.163665393790595,89.97639597883493,83.77982667046865,136.592557255513
Sweden,2008,1.1291625293654692,2.7195858672101725,1.3017894739956566,2.89221281184036,3.023948754949193,4.6143720927938965,2.0795144873987375,3.669937825243441,2.885709404051103,4.476132741895807,10.928463453511613,12.518886791356316,2.774126034759248,4.3645493726039515,4.0433953163186205,5.633818654163324,16.705867434732365,18.296290772577066
Slovenia,2008,18.438730140775252,53.20380977806606,20.037698492051565,54.802778129342364,35.98931132978429,70.7543909670751,19.389306527077945,54.15438616436875,21.621992469222718,56.38707210651353,43.895692701571754,78.66077233886256,20.23456238260599,54.9996420198968,23.030752228436125,57.795831865726946,50.92607473802724,85.69115437531805
Slovakia,2008,16.724404235522652,41.00796071445321,19.45527952543265,43.73883600436321,46.69901158429667,70.98256806322722,17.33027205140541,41.613828530335965,20.465059218570573,44.74861569750113,51.73829310052784,76.0218495794584,18.334421792472096,42.61797827140265,22.138642120348386,46.42219859927894,60.090268724638065,84.37382520356861
Belgium,2009,8.868790087129495,22.758368572367008,10.387048178385143,24.276626663622658,25.533480088768872,39.42305857400639,8.913044725995807,22.80262321123332,10.460805909828997,24.350384395066513,25.90156629140296,39.79114477664047,10.599964420702001,24.489542905939516,13.272338734339318,27.161917219576836,39.932453910864,53.822032396101505
Bulgaria,2009,55.30808429967635,160.03460937738024,60.285594515429864,165.01211959313372,109.9421845249708,214.66870960267465,57.64490395660342,162.3714290343073,64.18029394364166,168.9068190213455,129.37858929052294,234.10511436822677,57.500909296322334,162.2274343740262,63.94030284317316,168.666827920877,128.18091941770874,232.9074444954126
Cyprus,2009,5.898452812508367,8.270153457738749,8.056506840512972,10.428207485743354,29.58566488179701,31.957365527027388,6.183651638349708,8.55535228358009,8.531838216915212,10.903538862145593,31.957794798318652,34.32949544354903,6.271768315279376,8.643468960509757,8.67869934513132,11.050399990361704,32.690701761987626,35.06240240721801
Czechia,2009,18.529188912101024,45.26328606057365,22.192652820943064,48.92674996941569,58.740066578200576,85.4741637266732,18.445535015332265,45.17963216380489,22.0532296596618,48.78732680813443,58.04427861142549,84.77837575989811,18.409073001714727,45.14317015018735,21.992459636965904,48.72655678543853,57.74100726006692,84.47510440853954
Germany,2009,5.908087784056295,14.214760746525576,7.433363069553875,15.740036032023157,22.64979984630356,30.95647280877284,6.1038832495246815,14.410556211993963,7.759688845334521,16.066361807803805,24.27832086067555,32.58499382314483,6.578611032231686,14.885283994700968,8.55090181651286,16.857574778982144,28.22685035493697,36.53352331740626
Denmark,2009,3.8041602391926594,7.415462341856986,5.038805479985126,8.650107582649452,17.355861572652824,20.967163675317153,4.79868473265075,8.409986835315076,6.696346302415275,10.3076484050796,25.627779581732803,29.239081684397128,5.162907313268015,8.77420941593234,7.303383936777384,10.91468603944171,28.657186442739903,32.268488545404225
Estonia,2009,10.92118538200808,16.84713889144418,14.400742978651138,20.326696488087233,49.113472335637816,55.03942584507391,13.852240278660336,19.77819378809643,19.28583447307156,25.211787982507655,73.4924051268407,79.41835863627679,13.697761687671154,19.62371519710725,19.028370154756256,24.95432366419236,72.207535576391,78.1334890858271
Greece,2009,10.841993744900734,25.100000271960837,12.99622287906331,27.254229406123414,34.48722305082805,48.74522957788815,11.197123225055593,25.455129752115695,13.588105345988073,27.846111873048173,37.440998409576395,51.69900493663649,11.24119035307337,25.499196880133475,13.661550559351031,27.919557086411135,37.80752499816869,52.06553152522879
Spain,2009,6.587971343831564,15.64643080603335,7.8768723625134776,16.935331824715263,20.73519442984019,29.793653892041977,6.875291714986958,15.933751177188746,8.355739647772468,17.414199109974255,23.124970215323152,32.18342967752494,7.164254769181061,16.22271423138285,8.837344738095974,17.895804200297757,25.528408951794727,34.58686841399652
Finland,2009,2.709494699224747,5.451569901566463,3.4077574380870113,6.149832640428728,10.373759523403413,13.11583472574513,4.148573710383115,6.890648912724831,5.806222456684291,8.548297659026009,22.34324209240317,25.08531729474489,4.629970982415115,7.372046184756832,6.608551243404293,9.350626445746009,26.347244799462988,29.0893200018047
France,2009,5.881514869795943,14.990387684141163,6.890236934511177,15.999109748856396,16.95344038964647,26.062313203991692,6.119143878970597,15.228016693315816,7.286285283135598,16.39515809748082,18.929910243734064,28.038783058079286,6.555098015000863,15.663970829346082,8.012875509852709,17.12174832419793,22.5559414703985,31.66481428474372
Croatia,2009,20.07004632499059,59.41720606928067,22.058818812318897,61.40597855660898,41.899191959713214,81.24635170400329,21.090246100905183,60.43740584519526,23.75915177217656,63.106311516466626,50.38466311176476,89.73182285605483,21.61956169824741,60.966721442537484,24.6413444344136,63.98850417870368,54.78722458807154,94.13438433236162
Hungary,2009,18.634078415019832,50.83639045257363,21.35587025398074,53.55818229153454,48.50898407599551,80.71129611354931,19.296864611080107,51.499176648633906,22.460513914081197,54.662825951635,54.02168196068732,86.22399399824113,20.482120135066,52.6844321726198,24.43593978739102,56.63825182494482,63.879997747490634,96.08230978504444
Ireland,2009,4.985216839104836,8.96743495475747,6.696859108410409,10.679077224063043,23.772528414101725,27.75474652975436,4.766997464324206,8.749215579976841,6.3331601504426915,10.315378266095326,21.957497423862833,25.93971553951547,5.162524591849796,9.144742707502433,6.992372029652011,10.974590145304646,25.247278611536007,29.229496727188643
Italy,2009,10.024920884619927,29.58892321886385,11.293274839105056,30.85727717334898,23.946615480278123,43.51061781452204,10.225158769041855,29.789161103285778,11.627004646474932,31.191006980718853,25.612086138009694,45.176088472253625,10.785409512120387,30.349411846364312,12.560755884939152,32.12475821918307,30.271949461393042,49.83595179563697
Lithuania,2009,7.493156140089972,17.703404048778673,9.460276116295498,19.6705240249842,29.08463968844109,39.294887597129794,9.702694006878088,19.91294191556679,13.142839227609027,23.353087136297727,47.46238321537717,57.67263112406587,11.6696843775514,21.8799322862401,16.421156512064538,26.631404420753242,63.822747568278984,74.03299547696768
